,student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,hobbies,siblings,father_income,mother_income,soft_skills,python_skill,excel_skill,sql_skill,addr_postal,addr_district,addr_city
0,1,Claudia Short,20.0,Unknown,,+998794152102,Katieland,invalid_email,2022-09-03 23:22:44,Data Science,,active,3.72,good,135.0,2021-08-18 18:53:50,"Apartment 37, South Kevin district, Tashkent, UZ, 100539","gun, nice",4.0,1198.0,1089.0,"with, onto",2.0,5.0,1.0,100539.0,South Kevin district,Tashkent
1,2,,20.0,Female,90.0,,Dawnburgh,psmith@chen.com,2017-08-29 00:00:00,Data Science,,active,1.88,excellent,152.0,2001-11-10 04:19:00,UZ 100332 Tashkent South Patricia,,,,,,,,,100332.0,,Tashkent
2,3,Kathryn Moyer,20.0,Unknown,90.0,,Lake Stevenmouth,,,Data Science,,pending,,excellent,185.0,2022-07-14 22:27:02,"Wendyshire 12-kv, dom 1, Tashkent","fast, clearly",1.0,263.0,202.0,"despite, clearly",5.0,3.0,1.0,,,Tashkent
3,4,Ruben Wilson,,Female,81.0,,Port Pamelafort,invalid_email,,Data Science,,inactive,0.0,good,175.0,2023-04-29 19:05:30,"Apartment 16, North Tamara district, Tashkent, UZ, 100097","left, role",4.0,508.0,698.0,"full, series",3.0,5.0,1.0,100097.0,North Tamara district,Tashkent
4,5,Robert Pruitt,20.0,Female,,,Kingburgh,invalid_email,2023-11-25 00:00:00,Data Science,,pending,4.37,average,282.0,,,"sort, science",3.0,862.0,1058.0,"whose, save",1.0,4.0,1.0,,,
5,6,David Martinez,20.0,Male,90.0,,Hugheshaven,nathangibbs@hotmail.com,2020-10-23 22:54:07,Data Science,110,pending,15.5,average,8500.0,,"Apartment 42, North Jamesfurt district, Tashkent, UZ, 100551",,,,,,,,,100551.0,North Jamesfurt district,Tashkent
6,7,,,Female,71.0,+998809283134,Sharpfurt,invalid_email,,Data Science,,active,0.0,excellent,275.0,,"Lake Tracishire 29-kv, dom 8, Tashkent","fall, teacher",3.0,1270.0,931.0,"teacher, good",4.0,1.0,4.0,,,Tashkent
7,8,Nicholas Dennis,21.0,Female,90.0,+998091556011,Matthewfort,invalid_email,,Python,63,active,,excellent,135.0,,"70576 Butler Harbor Suite 847, Janetberg",,,,,,,,,,,Janetberg
8,9,,,Female,77.0,+998549645423,South Paulchester,stacysmith@taylor.biz,,Other,110,active,15.5,excellent,104.0,,"Williamsborough 2-kv, dom 18, Tashkent","require, open",0.0,850.0,1062.0,"partner, walk",1.0,5.0,4.0,,,Tashkent
9,10,Elizabeth Villegas,22.0,Female,,+998744760583,South Dianatown,invalid_email,,Data Science,99,inactive,,average,21500.0,,,"management, to",3.0,597.0,1150.0,"beat, southern",1.0,1.0,4.0,,,
10,11,Shawn Baker,19.0,Unknown,,+998868509629,Zhangstad,invalid_email,,Data Science,110,active,,excellent,18300.0,,"Apartment 34, North Samantha district, Tashkent, UZ, 100659",,,,,,,,,100659.0,North Samantha district,Tashkent
11,12,,18.0,Female,71.0,,Austinside,invalid_email,,Other,110,inactive,-2.0,average,208.0,,"Apartment 13, Morrismouth district, Tashkent, UZ, 100315",,,,,,,,,100315.0,Morrismouth district,Tashkent
12,13,,19.0,Female,90.0,+998736311916,Lesliefurt,invalid_email,,Data Science,110,inactive,,excellent,84.0,,"Frankchester 9-kv, dom 20, Tashkent",,,,,,,,,,,Tashkent
13,14,Thomas Prince,20.0,Unknown,,,East Michellestad,aphillips@holland-diaz.org,,Python,114,inactive,15.5,excellent,210.0,,UZ 100394 Tashkent Stevensborough,,,,,,,,,100394.0,,Tashkent
14,15,,21.0,Male,73.0,,Michellebury,kevin65@maxwell.info,,Python,110,pending,,good,191.0,,"Davidborough 9-kv, dom 29, Tashkent",,,,,,,,,,,Tashkent
15,16,Adrian Allen,20.0,Female,,,Antoniobury,,,Python,110,pending,,excellent,53.0,,"1965 Jacobs Branch Apt. 418, Timburgh","partner, race",3.0,798.0,626.0,"onto, owner",4.0,4.0,4.0,,,Timburgh
16,17,Stephen Lyons,19.0,Unknown,76.0,,New Adam,invalid_email,,Data Science,110,active,,good,110.0,,UZ 100399 Tashkent Joehaven,"nothing, community",1.0,772.0,498.0,"wear, will",1.0,1.0,5.0,100399.0,,Tashkent
